hotel_type,window_booking,check_in,booking_status,booking_changes,reservation_date,reservation_status,deposit_type,weekend_nights,week_nights,days_in_waiting_list,number_adults,number_children,number_babies,country_code,country_name,region,market_segment,distribution_channel,repeated_guest,customer_type,reserved_room,assigned_room,meal_code,special_requests,prev_cancels,prev_not_cancels,adr,bucket
Resort Hotel,37,2015-07-01,Confirmed,0,2015-07-05,Check-Out,No Deposit,0,4,0,2,0.0,0,PRT,Portugal,Europe,Offline TA/TO,TA/TO,No,Contract,E,E,Bed & Breakfast,0,0,0,97.5,31-90 days
Resort Hotel,12,2015-07-01,Confirmed,0,2015-07-02,Check-Out,No Deposit,0,1,0,2,0.0,0,IRL,Ireland,Europe,Online TA,TA/TO,No,Transient,A,E,Bed & Breakfast,0,0,0,88.2,8-30 days
Resort Hotel,0,2015-07-01,Confirmed,0,2015-07-02,Check-Out,No Deposit,0,1,0,2,0.0,0,FRA,France,Europe,Corporate,Corporate,No,Transient,A,G,Bed & Breakfast,0,0,0,107.42,0-7 days
Resort Hotel,7,2015-07-01,Confirmed,0,2015-07-05,Check-Out,No Deposit,0,4,0,2,0.0,0,GBR,United Kingdom,Europe,Direct,Direct,No,Transient,G,G,Bed & Breakfast,1,0,0,153.0,0-7 days
Resort Hotel,37,2015-07-01,Confirmed,0,2015-07-06,Check-Out,No Deposit,1,4,0,1,0.0,0,GBR,United Kingdom,Europe,Online TA,TA/TO,No,Transient,F,F,Bed & Breakfast,1,0,0,97.29,31-90 days
Resort Hotel,72,2015-07-01,Confirmed,1,2015-07-07,Check-Out,No Deposit,2,4,0,2,0.0,0,PRT,Portugal,Europe,Direct,Direct,No,Transient,A,A,Bed & Breakfast,1,0,0,84.67,31-90 days
Resort Hotel,72,2015-07-01,Confirmed,1,2015-07-07,Check-Out,No Deposit,2,4,0,2,0.0,0,PRT,Portugal,Europe,Direct,Direct,No,Transient,D,D,Bed & Breakfast,1,0,0,99.67,31-90 days
Resort Hotel,127,2015-07-01,Confirmed,0,2015-07-01,Check-Out,No Deposit,2,5,0,2,0.0,0,GBR,United Kingdom,Europe,Offline TA/TO,TA/TO,No,Contract,D,I,Half Board,1,0,0,94.95,91-180 days
Resort Hotel,78,2015-07-01,Confirmed,0,2015-07-08,Check-Out,No Deposit,2,5,0,2,0.0,0,PRT,Portugal,Europe,Offline TA/TO,TA/TO,No,Transient,D,D,Bed & Breakfast,0,0,0,63.6,31-90 days
Resort Hotel,48,2015-07-01,Confirmed,0,2015-07-08,Check-Out,No Deposit,2,5,0,2,0.0,0,IRL,Ireland,Europe,Offline TA/TO,TA/TO,No,Contract,D,D,Bed & Breakfast,0,0,0,79.5,31-90 days
Resort Hotel,60,2015-07-01,Cancelled,0,2015-05-11,Canceled,No Deposit,2,5,0,2,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,E,E,Bed & Breakfast,2,0,0,107.0,31-90 days
Resort Hotel,77,2015-07-01,Confirmed,0,2015-07-08,Check-Out,No Deposit,2,5,0,2,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,A,A,Bed & Breakfast,0,0,0,94.0,31-90 days
Resort Hotel,99,2015-07-01,Confirmed,0,2015-07-08,Check-Out,No Deposit,2,5,0,2,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,D,D,Bed & Breakfast,1,0,0,87.3,91-180 days
Resort Hotel,118,2015-07-01,Confirmed,2,2015-07-15,Check-Out,No Deposit,4,10,0,1,0.0,0,Undefined,,,Direct,Direct,No,Transient,A,A,Bed & Breakfast,2,0,0,62.0,91-180 days
Resort Hotel,95,2015-07-01,Confirmed,0,2015-07-16,Check-Out,No Deposit,4,11,0,2,0.0,0,GBR,United Kingdom,Europe,Offline TA/TO,TA/TO,No,Transient,D,D,Bed & Breakfast,0,0,0,63.86,91-180 days
Resort Hotel,96,2015-07-01,Cancelled,0,2015-05-29,Canceled,No Deposit,2,8,0,2,0.0,0,PRT,Portugal,Europe,Direct,Direct,No,Transient,E,E,Bed & Breakfast,2,0,0,108.3,91-180 days
Resort Hotel,69,2015-07-02,Confirmed,0,2015-07-08,Check-Out,No Deposit,2,4,0,2,0.0,0,IRL,Ireland,Europe,Offline TA/TO,TA/TO,No,Transient,A,C,Bed & Breakfast,0,0,0,65.5,31-90 days
Resort Hotel,45,2015-07-02,Cancelled,0,2015-05-19,Canceled,No Deposit,1,3,0,3,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,D,D,Bed & Breakfast,1,0,0,108.8,31-90 days
Resort Hotel,40,2015-07-02,Cancelled,0,2015-06-19,Canceled,No Deposit,1,3,0,3,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,D,D,Bed & Breakfast,1,0,0,108.8,31-90 days
Resort Hotel,15,2015-07-02,Confirmed,0,2015-07-06,Check-Out,No Deposit,1,3,0,2,0.0,0,ESP,Spain,Europe,Online TA,TA/TO,No,Transient,A,C,Bed & Breakfast,0,0,0,98.0,8-30 days
Resort Hotel,36,2015-07-02,Confirmed,0,2015-07-06,Check-Out,No Deposit,1,3,0,3,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,D,D,Bed & Breakfast,1,0,0,108.8,31-90 days
Resort Hotel,43,2015-07-02,Cancelled,0,2015-05-23,Canceled,No Deposit,1,3,0,3,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,D,D,Bed & Breakfast,0,0,0,108.8,31-90 days
Resort Hotel,70,2015-07-02,Confirmed,0,2015-07-07,Check-Out,No Deposit,2,3,0,2,0.0,0,ROU,Romania,Europe,Direct,Direct,No,Transient,E,E,Half Board,1,0,0,137.0,31-90 days
Resort Hotel,45,2015-07-02,Cancelled,0,2015-05-18,Canceled,No Deposit,2,3,0,2,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,G,G,Bed & Breakfast,0,0,0,117.81,31-90 days
Resort Hotel,45,2015-07-02,Confirmed,0,2015-07-07,Check-Out,No Deposit,2,3,0,2,0.0,0,IRL,Ireland,Europe,Offline TA/TO,TA/TO,No,Contract,D,D,Bed & Breakfast,0,0,0,79.5,31-90 days
Resort Hotel,16,2015-07-02,Confirmed,0,2015-07-07,Check-Out,No Deposit,2,3,0,2,0.0,0,ESP,Spain,Europe,Direct,Direct,No,Transient,F,F,Bed & Breakfast,0,0,0,123.0,8-30 days
Resort Hotel,107,2015-07-02,Confirmed,0,2015-07-09,Check-Out,No Deposit,2,5,0,2,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,A,A,Bed & Breakfast,2,0,0,110.7,91-180 days
Resort Hotel,47,2015-07-02,Cancelled,0,2015-06-02,Canceled,No Deposit,2,5,0,2,2.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,G,G,Bed & Breakfast,0,0,0,153.0,31-90 days
Resort Hotel,96,2015-07-02,Confirmed,0,2015-07-09,Check-Out,No Deposit,2,5,0,2,0.0,0,ESP,Spain,Europe,Offline TA/TO,TA/TO,No,Transient,A,A,Bed & Breakfast,1,0,0,58.95,91-180 days
Resort Hotel,113,2015-07-02,Confirmed,0,2015-07-09,Check-Out,No Deposit,2,5,0,2,0.0,0,NOR,Norway,Europe,Offline TA/TO,TA/TO,No,Transient-Party,E,E,Bed & Breakfast,2,0,0,82.88,91-180 days
Resort Hotel,90,2015-07-02,Confirmed,1,2015-07-09,Check-Out,No Deposit,2,5,0,2,0.0,0,GBR,United Kingdom,Europe,Offline TA/TO,TA/TO,No,Contract,A,B,Half Board,0,0,0,82.35,31-90 days
Resort Hotel,50,2015-07-02,Confirmed,1,2015-07-09,Check-Out,No Deposit,2,5,0,2,0.0,0,IRL,Ireland,Europe,Online TA,TA/TO,No,Transient,E,F,Half Board,1,0,0,119.35,31-90 days
Resort Hotel,113,2015-07-02,Confirmed,0,2015-07-09,Check-Out,No Deposit,2,5,0,2,0.0,0,NOR,Norway,Europe,Offline TA/TO,TA/TO,No,Transient-Party,D,D,Bed & Breakfast,2,0,0,67.58,91-180 days
Resort Hotel,93,2015-07-02,Confirmed,0,2015-07-13,Check-Out,No Deposit,3,8,0,2,0.0,0,IRL,Ireland,Europe,Offline TA/TO,TA/TO,No,Contract,A,A,Bed & Breakfast,0,0,0,56.01,91-180 days
Resort Hotel,76,2015-07-02,Confirmed,0,2015-07-16,Check-Out,No Deposit,4,10,0,2,0.0,0,OMN,Oman,Asia,Offline TA/TO,TA/TO,No,Contract,D,D,Bed & Breakfast,0,0,0,110.7,31-90 days
Resort Hotel,3,2015-07-02,Confirmed,0,2015-07-03,Check-Out,No Deposit,0,1,0,2,0.0,0,ESP,Spain,Europe,Online TA,TA/TO,No,Transient,A,C,Bed & Breakfast,0,0,0,88.2,0-7 days
Resort Hotel,1,2015-07-02,Confirmed,0,2015-07-03,Check-Out,No Deposit,0,1,0,2,0.0,0,ARG,Argentina,Americas,Online TA,TA/TO,No,Transient,H,H,Bed & Breakfast,0,0,0,147.0,0-7 days
Resort Hotel,1,2015-07-02,Confirmed,0,2015-07-03,Check-Out,No Deposit,0,1,0,2,2.0,0,ESP,Spain,Europe,Direct,Direct,No,Transient,C,C,Bed & Breakfast,2,0,0,107.0,0-7 days
Resort Hotel,0,2015-07-02,Confirmed,0,2015-07-03,Check-Out,No Deposit,0,1,0,2,0.0,0,PRT,Portugal,Europe,Direct,Direct,No,Transient,H,H,Bed & Breakfast,0,0,0,147.0,0-7 days
Resort Hotel,0,2015-07-02,Confirmed,0,2015-07-03,Check-Out,No Deposit,0,1,0,2,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,A,D,Bed & Breakfast,2,0,0,117.9,0-7 days
Resort Hotel,0,2015-07-02,Confirmed,0,2015-07-03,Check-Out,No Deposit,0,1,0,2,0.0,0,PRT,Portugal,Europe,Direct,Direct,No,Transient,G,G,Bed & Breakfast,0,0,0,123.0,0-7 days
Resort Hotel,14,2015-07-02,Confirmed,0,2015-07-04,Check-Out,No Deposit,0,2,0,2,0.0,0,USA,United States,Americas,Online TA,TA/TO,No,Transient,A,C,Bed & Breakfast,1,0,0,98.0,8-30 days
Resort Hotel,10,2015-07-02,Confirmed,0,2015-07-04,Check-Out,No Deposit,0,2,0,2,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,G,G,Bed & Breakfast,0,0,0,117.81,8-30 days
Resort Hotel,5,2015-07-02,Confirmed,0,2015-07-04,Check-Out,No Deposit,0,2,0,2,0.0,0,IRL,Ireland,Europe,Online TA,TA/TO,No,Transient,E,E,Bed & Breakfast,2,0,0,135.0,0-7 days
Resort Hotel,17,2015-07-02,Confirmed,0,2015-07-05,Check-Out,No Deposit,0,3,0,2,0.0,0,ESP,Spain,Europe,Direct,Direct,No,Transient,F,F,Bed & Breakfast,1,0,0,133.0,8-30 days
Resort Hotel,93,2015-07-02,Confirmed,0,2015-07-05,Check-Out,No Deposit,0,3,0,2,0.0,0,IRL,Ireland,Europe,Offline TA/TO,TA/TO,No,Contract,A,C,Bed & Breakfast,0,0,0,58.95,91-180 days
Resort Hotel,3,2015-07-02,Cancelled,0,2015-06-29,Canceled,No Deposit,0,3,0,2,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,A,A,Half Board,2,0,0,136.33,0-7 days
Resort Hotel,10,2015-07-03,Confirmed,0,2015-07-05,Check-Out,No Deposit,0,2,0,2,2.0,0,USA,United States,Americas,Online TA,TA/TO,No,Transient,G,H,Bed & Breakfast,0,0,0,153.0,8-30 days
Resort Hotel,3,2015-07-03,Confirmed,0,2015-07-05,Check-Out,No Deposit,0,2,0,2,0.0,0,ESP,Spain,Europe,Online TA,TA/TO,No,Transient,A,C,Bed & Breakfast,0,0,0,110.5,0-7 days
Resort Hotel,51,2015-07-03,Confirmed,0,2015-07-05,Check-Out,No Deposit,0,2,0,2,0.0,0,POL,Poland,Europe,Online TA,TA/TO,No,Transient,D,D,Bed & Breakfast,0,0,0,97.0,31-90 days
Resort Hotel,71,2015-07-03,Cancelled,0,2015-06-16,Canceled,No Deposit,0,2,0,3,0.0,0,PRT,Portugal,Europe,Offline TA/TO,TA/TO,No,Transient,A,A,Bed & Breakfast,2,0,0,110.3,31-90 days
Resort Hotel,63,2015-07-03,Cancelled,0,2015-06-18,Canceled,No Deposit,0,2,0,2,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,A,A,Bed & Breakfast,2,0,0,82.0,31-90 days
Resort Hotel,62,2015-07-03,Cancelled,0,2015-07-03,Canceled,No Deposit,0,2,0,2,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,D,D,Bed & Breakfast,1,0,0,97.0,31-90 days
Resort Hotel,101,2015-07-03,Cancelled,0,2015-06-12,Canceled,No Deposit,0,2,0,2,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,A,A,Bed & Breakfast,1,0,0,73.8,91-180 days
Resort Hotel,2,2015-07-03,Confirmed,0,2015-07-05,Check-Out,No Deposit,0,2,0,2,0.0,0,PRT,Portugal,Europe,Offline TA/TO,TA/TO,No,Transient,A,A,Half Board,0,0,0,91.5,0-7 days
Resort Hotel,15,2015-07-03,Confirmed,0,2015-07-05,Check-Out,No Deposit,0,2,0,2,0.0,0,ESP,Spain,Europe,Online TA,TA/TO,No,Transient,A,A,Bed & Breakfast,0,0,0,114.5,8-30 days
Resort Hotel,51,2015-07-03,Cancelled,0,2015-06-09,Canceled,No Deposit,0,2,0,3,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,A,A,Bed & Breakfast,0,0,0,110.3,31-90 days
Resort Hotel,3,2015-07-03,Confirmed,0,2015-07-06,Check-Out,No Deposit,1,2,0,2,0.0,0,ESP,Spain,Europe,Online TA,TA/TO,No,Transient,A,A,Bed & Breakfast,0,0,0,90.9,0-7 days
Resort Hotel,48,2015-07-03,Cancelled,0,2015-05-26,Canceled,No Deposit,1,2,0,2,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,E,E,Bed & Breakfast,0,0,0,123.0,31-90 days
Resort Hotel,2,2015-07-03,Confirmed,0,2015-07-07,Check-Out,No Deposit,2,2,0,1,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,A,A,Bed & Breakfast,0,0,0,122.0,0-7 days
Resort Hotel,72,2015-07-03,Confirmed,0,2015-07-07,Check-Out,No Deposit,2,2,0,2,0.0,0,DEU,Germany,Europe,Offline TA/TO,TA/TO,No,Transient,A,A,Bed & Breakfast,0,0,0,110.7,31-90 days
Resort Hotel,81,2015-07-03,Confirmed,0,2015-07-11,Check-Out,No Deposit,2,6,0,3,0.0,0,PRT,Portugal,Europe,Offline TA/TO,TA/TO,No,Transient,D,D,Bed & Breakfast,0,0,0,85.86,31-90 days
Resort Hotel,99,2015-07-03,Confirmed,0,2015-07-12,Check-Out,No Deposit,2,7,0,2,0.0,0,FRA,France,Europe,Offline TA/TO,TA/TO,No,Contract,A,A,Bed & Breakfast,0,0,0,58.95,91-180 days
Resort Hotel,368,2015-07-03,Cancelled,0,2015-05-19,Canceled,No Deposit,3,7,0,2,0.0,0,PRT,Portugal,Europe,Offline TA/TO,TA/TO,No,Contract,A,A,Bed & Breakfast,0,0,0,55.68,180+ days
Resort Hotel,364,2015-07-03,Confirmed,0,2015-07-13,Check-Out,No Deposit,3,7,0,2,0.0,0,GBR,United Kingdom,Europe,Offline TA/TO,TA/TO,No,Contract,A,A,Bed & Breakfast,0,0,0,55.68,180+ days
Resort Hotel,81,2015-07-03,Cancelled,2,2015-06-09,Canceled,No Deposit,3,7,0,2,0.0,0,PRT,Portugal,Europe,Direct,Direct,No,Transient,A,A,Half Board,1,0,0,124.0,31-90 days
Resort Hotel,99,2015-07-03,Confirmed,0,2015-07-13,Check-Out,No Deposit,3,7,0,2,0.0,0,GBR,United Kingdom,Europe,Offline TA/TO,TA/TO,No,Contract,E,E,Half Board,0,0,0,111.15,91-180 days
Resort Hotel,324,2015-07-03,Confirmed,0,2015-07-17,Check-Out,No Deposit,4,10,0,2,0.0,0,GBR,United Kingdom,Europe,Offline TA/TO,TA/TO,No,Contract,E,E,Half Board,0,0,0,134.73,180+ days
Resort Hotel,69,2015-07-03,Confirmed,1,2015-07-17,Check-Out,No Deposit,4,10,0,2,0.0,0,GBR,United Kingdom,Europe,Online TA,TA/TO,No,Transient,F,F,Bed & Breakfast,1,0,0,92.45,31-90 days
Resort Hotel,79,2015-07-03,Cancelled,0,2015-04-15,Canceled,No Deposit,6,15,0,2,1.0,0,PRT,Portugal,Europe,Offline TA/TO,TA/TO,No,Transient,A,A,Bed & Breakfast,2,0,0,108.73,31-90 days
Resort Hotel,12,2015-07-03,Confirmed,0,2015-07-04,Check-Out,No Deposit,0,1,0,2,0.0,0,GBR,United Kingdom,Europe,Online TA,TA/TO,No,Transient,A,C,Bed & Breakfast,0,0,0,73.8,8-30 days
Resort Hotel,9,2015-07-03,Confirmed,0,2015-07-04,Check-Out,No Deposit,0,1,0,2,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,A,C,Bed & Breakfast,2,0,0,98.0,8-30 days
Resort Hotel,1,2015-07-03,Confirmed,0,2015-07-04,Check-Out,No Deposit,0,1,0,2,0.0,0,ESP,Spain,Europe,Online TA,TA/TO,No,Transient,A,C,Bed & Breakfast,1,0,0,131.0,0-7 days
Resort Hotel,21,2015-07-03,Confirmed,0,2015-07-04,Check-Out,No Deposit,0,1,0,2,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,E,E,Bed & Breakfast,0,0,0,123.0,8-30 days
Resort Hotel,9,2015-07-03,Confirmed,0,2015-07-04,Check-Out,No Deposit,0,1,0,2,0.0,0,USA,United States,Americas,Online TA,TA/TO,No,Transient,C,C,Bed & Breakfast,0,0,0,94.71,8-30 days
Resort Hotel,109,2015-07-03,Confirmed,0,2015-07-04,Check-Out,No Deposit,0,1,0,2,0.0,0,BEL,Belgium,Europe,Online TA,TA/TO,No,Transient,A,A,Bed & Breakfast,2,0,0,123.0,91-180 days
Resort Hotel,109,2015-07-03,Cancelled,0,2015-05-26,Canceled,No Deposit,0,2,0,2,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,A,A,Bed & Breakfast,1,0,0,123.0,91-180 days
Resort Hotel,72,2015-07-03,Cancelled,0,2015-06-29,Canceled,No Deposit,0,2,0,2,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,A,A,Bed & Breakfast,1,0,0,73.8,31-90 days
Resort Hotel,63,2015-07-03,Cancelled,0,2015-05-13,Canceled,No Deposit,2,5,0,2,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,F,F,Bed & Breakfast,1,0,0,117.0,31-90 days
Resort Hotel,63,2015-07-03,Confirmed,0,2015-07-10,Check-Out,No Deposit,2,5,0,3,0.0,0,ESP,Spain,Europe,Offline TA/TO,TA/TO,No,Transient,E,E,Half Board,1,0,0,196.54,31-90 days
Resort Hotel,101,2015-07-03,Confirmed,0,2015-07-10,Check-Out,No Deposit,2,5,0,2,1.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,D,D,Bed & Breakfast,2,0,0,99.3,91-180 days
Resort Hotel,102,2015-07-03,Confirmed,0,2015-07-10,Check-Out,No Deposit,2,5,0,2,0.0,0,DEU,Germany,Europe,Direct,Direct,No,Transient,E,E,Bed & Breakfast,0,0,0,90.95,91-180 days
Resort Hotel,4,2015-07-04,Confirmed,0,2015-07-07,Check-Out,No Deposit,2,1,0,2,0.0,0,ESP,Spain,Europe,Direct,Direct,No,Transient,A,C,Bed & Breakfast,1,0,0,92.67,0-7 days
Resort Hotel,98,2015-07-04,Confirmed,0,2015-07-07,Check-Out,No Deposit,2,1,0,2,0.0,0,FRA,France,Europe,Offline TA/TO,TA/TO,No,Transient,D,D,Bed & Breakfast,0,0,0,71.55,91-180 days
Resort Hotel,92,2015-07-04,Confirmed,0,2015-07-10,Check-Out,No Deposit,2,4,0,1,2.0,0,FRA,France,Europe,Offline TA/TO,TA/TO,No,Transient,F,F,Bed & Breakfast,2,0,0,96.49,91-180 days
Resort Hotel,95,2015-07-04,Confirmed,0,2015-07-10,Check-Out,No Deposit,2,4,0,2,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,A,C,Bed & Breakfast,2,0,0,85.8,91-180 days
Resort Hotel,102,2015-07-04,Confirmed,0,2015-07-11,Check-Out,No Deposit,2,5,0,2,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,E,E,Bed & Breakfast,1,0,0,96.3,91-180 days
Resort Hotel,26,2015-07-04,Cancelled,0,2015-06-09,Canceled,No Deposit,2,5,0,2,2.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,H,H,Bed & Breakfast,0,0,0,163.0,8-30 days
Resort Hotel,73,2015-07-04,Cancelled,0,2015-05-20,Canceled,No Deposit,2,5,0,3,0.0,0,PRT,Portugal,Europe,Direct,Direct,No,Transient,D,D,Half Board,1,0,0,172.0,31-90 days
Resort Hotel,102,2015-07-04,Cancelled,0,2015-04-22,Canceled,No Deposit,2,5,0,2,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,A,A,Bed & Breakfast,1,0,0,110.7,91-180 days
Resort Hotel,115,2015-07-04,Confirmed,0,2015-07-11,Check-Out,No Deposit,2,5,0,2,0.0,0,PRT,Portugal,Europe,Offline TA/TO,TA/TO,No,Transient,A,A,Bed & Breakfast,1,0,0,58.95,91-180 days
Resort Hotel,102,2015-07-04,Confirmed,0,2015-07-11,Check-Out,No Deposit,2,5,0,2,0.0,1,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,A,A,Bed & Breakfast,2,0,0,73.8,91-180 days
Resort Hotel,86,2015-07-04,Confirmed,0,2015-07-11,Check-Out,No Deposit,2,5,0,2,0.0,0,CHE,Switzerland,Europe,Online TA,TA/TO,No,Transient,D,D,Bed & Breakfast,2,0,0,97.0,31-90 days
Resort Hotel,78,2015-07-04,Confirmed,0,2015-07-11,Check-Out,No Deposit,2,5,0,2,0.0,1,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,E,F,Half Board,2,0,0,139.0,31-90 days
Resort Hotel,52,2015-07-04,Confirmed,0,2015-07-11,Check-Out,No Deposit,2,5,0,2,0.0,0,GBR,United Kingdom,Europe,Online TA,TA/TO,No,Transient,A,A,Bed & Breakfast,0,0,0,67.24,31-90 days
Resort Hotel,29,2015-07-04,Confirmed,0,2015-07-12,Check-Out,No Deposit,2,6,0,3,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,E,E,Bed & Breakfast,1,0,0,116.5,8-30 days
Resort Hotel,101,2015-07-04,Cancelled,0,2015-05-12,Canceled,No Deposit,2,6,0,2,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,E,E,Bed & Breakfast,1,0,0,96.3,91-180 days
Resort Hotel,109,2015-07-04,Confirmed,0,2015-07-12,Check-Out,No Deposit,2,6,0,2,0.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,A,A,Bed & Breakfast,1,0,0,123.0,91-180 days
Resort Hotel,92,2015-07-04,Confirmed,0,2015-07-14,Check-Out,No Deposit,4,6,0,2,0.0,0,GBR,United Kingdom,Europe,Offline TA/TO,TA/TO,No,Contract,D,D,Bed & Breakfast,1,0,0,71.55,91-180 days
Resort Hotel,92,2015-07-04,Confirmed,0,2015-07-14,Check-Out,No Deposit,4,6,0,2,0.0,0,PRT,Portugal,Europe,Offline TA/TO,TA/TO,No,Contract,D,D,Bed & Breakfast,1,0,0,71.55,91-180 days
Resort Hotel,79,2015-07-04,Confirmed,1,2015-07-14,Check-Out,No Deposit,4,6,0,2,1.0,0,PRT,Portugal,Europe,Direct,Direct,No,Transient,D,D,Half Board,1,0,0,149.0,31-90 days
Resort Hotel,2,2015-07-04,Confirmed,1,2015-07-05,Check-Out,No Deposit,0,1,0,2,2.0,0,PRT,Portugal,Europe,Online TA,TA/TO,No,Transient,H,G,Bed & Breakfast,0,0,0,163.0,0-7 days
Resort Hotel,30,2015-07-04,Confirmed,0,2015-07-05,Check-Out,No Deposit,0,1,0,2,0.0,0,PRT,Portugal,Europe,Offline TA/TO,TA/TO,No,Contract,D,C,Bed & Breakfast,0,0,0,79.5,8-30 days
